@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric

@data
13,'2023/12/10 17:49:52:815',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
14,'2023/12/10 17:49:52:916',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
15,'2023/12/10 17:49:53:017',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
16,'2023/12/10 17:49:53:114',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
17,'2023/12/10 17:49:53:216',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
18,'2023/12/10 17:49:53:316',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
19,'2023/12/10 17:49:53:416',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
20,'2023/12/10 17:49:53:517',1,-0.028189,-0.095408,-0.014768,0.046942,-0.147275,-0.086878,-0.471646,-0.108144,-0.04829,0.036848,0.390001,0.023469,-0.12729,0.122375,-0.843931,0.507036,0.01877,0.165645,0.078906,-0.289739,1.022273,-0.002933,0.89833,-0.874751,0.814285,-0.052807,-0.044758,-0.078623,-0.073623,0.045668,0.116423,-0.076684,0,0,0,0,0,0,0,0
21,'2023/12/10 17:52:34:405',2,0.292394,0.264135,0.488662,0.441236,-0.690553,0.439471,0.091551,0.157078,0.212909,-0.075902,1.076364,-0.618632,0.263697,0.033194,-0.133811,-0.505427,-0.322335,0.591636,-0.484694,-0.268923,-0.069124,0.028893,0.496907,-0.313116,0.893289,-0.153934,0.43007,-0.25662,0.159782,0.06139,-0.966923,-0.34103,0,0.46,0.44,0,0,0.46,0.46,0.68
22,'2023/12/10 17:52:34:505',2,0.115576,0.339418,0.552628,0.355264,-0.61498,0.309939,0.092306,0.246497,0.266598,-0.263654,1.247914,-0.615067,-0.362147,0.076268,-0.151477,-0.496752,-0.356144,0.504131,-0.152589,-0.222008,-0.107497,-0.02836,0.476913,-0.330227,0.907085,-0.142636,0.476975,-0.707237,0.195615,0.160011,-0.915312,-0.093473,0,0.46,0.44,0,0,0.46,0.46,0.68
